id,conversation,question_id,model_name,time,mt,exp,nll,N100,N150,N200,N250,N300,N350,N400,word_speed,line_speed,pixel_speed,saccade,fft,rrt,tft,skip_rate,fixation_time
9,1,92,vicuna-13b-v1.2,19053,2.0,1.75,148.34472853916668,64,28,16,8,4,2,0,264.625,2721.8571428571427,1.390760082960249,116,166.0,199.2,182.6,0.3768115942028985,22400.0
9,2,92,claude-v1,24617,1.0,1.25,184.74166885997693,75,32,12,7,3,0,0,356.768115942029,4102.833333333333,1.7060448083268522,142,564.4000000000001,431.6,182.6,0.4861111111111111,16899.999999999996
10,1,98,gpt-3.5-turbo,22620,2.0,2.0,166.47042290137324,60,24,6,3,0,0,0,301.6,3770.0,3.2765395426281345,134,99.6,498.00000000000006,215.8,0.5,12666.66666666667
10,2,98,alpaca-13b,14361,1.0,1.0,112.62211922125424,32,9,4,2,0,0,0,359.025,4787.0,1.100156820909547,91,431.6,348.6,99.6,0.3733333333333333,19683.33333333333
11,1,98,claude-v1,22865,2.0,1.75,186.61258690227987,57,23,10,8,4,4,3,387.542372881356,4573.0,3.5496907721018056,131,348.6,415.00000000000006,680.6,0.5,10166.666666666666
11,2,98,alpaca-13b,11319,1.0,1.25,91.15909303165972,19,4,1,0,0,0,0,269.5,3773.0,1.0349554183333165,64,332.0,249.00000000000003,182.6,0.3559322033898305,20250.0
13,1,100,llama-13b,36496,1.0,1.25,213.882287456072,92,47,20,6,3,0,0,388.25531914893617,5213.714285714285,4.515984654953589,199,813.4000000000001,132.8,431.6,0.3877551020408163,14483.333333333332
13,2,100,alpaca-13b,15884,2.0,1.75,130.20372926117852,37,11,7,6,2,1,0,324.16326530612247,3971.0,1.0044105926341909,89,232.40000000000003,315.40000000000003,415.00000000000006,0.4468085106382978,33183.333333333336
14,1,100,claude-v1,15832,1.5,1.5,176.37208183063194,41,23,14,7,2,1,0,287.8545454545455,3166.4,1.276819261469313,78,282.20000000000005,1958.8,2506.6000000000004,0.4268292682926829,36099.99999999999
14,2,100,alpaca-13b,39971,1.5,1.5,172.68096376792528,111,59,27,18,7,4,0,487.4512195121951,6661.833333333333,4.167817774238661,230,182.6,166.0,448.2000000000001,0.5454545454545454,14449.999999999996
16,1,92,vicuna-13b-v1.2,15412,2.0,1.25,109.2388352875132,38,29,19,7,4,2,1,385.3,5137.333333333333,2.4111094888634,86,282.20000000000005,315.40000000000003,282.20000000000005,0.425,13333.333333333334
16,2,92,claude-v1,14486,1.0,1.75,312.79447084094863,47,33,23,16,7,3,2,152.4842105263158,1810.75,0.7988040930724781,72,132.8,498.00000000000006,132.8,0.6842105263157895,12916.666666666668
17,1,85,llama-13b,11445,1.0,1.25,171.70916159974877,31,20,12,7,4,3,3,112.20588235294116,1430.625,0.9595334501447448,56,132.8,199.2,132.8,0.5454545454545454,10549.999999999998
17,2,85,alpaca-13b,12268,2.0,1.75,113.4794657968596,42,32,23,15,11,5,3,159.32467532467533,2044.6666666666667,0.7378825180964602,63,199.2,149.4,215.8,0.7941176470588235,6583.333333333334
18,1,92,gpt-3.5-turbo,9315,1.0,1.0,90.45894930919168,22,16,14,6,4,3,2,232.875,3105.0,0.5136587137215334,45,116.20000000000002,1826.0,166.0,0.7052631578947368,11066.666666666666
18,2,92,claude-v1,12627,2.0,2.0,312.79447084094863,26,15,11,10,7,4,2,132.9157894736842,1578.375,1.8108215539010133,55,249.00000000000003,680.6,249.00000000000003,0.5,7733.333333333334
19,1,85,llama-13b,14527,1.0,1.25,171.70916159974877,34,23,16,9,4,3,2,142.42156862745097,1815.875,1.2179241966144785,60,215.8,166.0,199.2,0.6493506493506493,6400.000000000002
19,2,85,alpaca-13b,8628,2.0,1.75,113.4794657968596,32,26,19,11,8,4,4,112.05194805194805,1438.0,0.5189476985764802,61,199.2,215.8,199.2,0.7450980392156863,7433.333333333334
20,1,92,gpt-3.5-turbo,7922,2.0,2.0,125.40416362351344,25,17,11,8,5,3,3,95.44578313253012,990.25,0.6213569477290519,36,215.8,132.8,215.8,0.676923076923077,5883.333333333334
20,2,92,alpaca-13b,7297,1.0,1.0,126.1819701762888,31,21,16,9,2,2,2,112.26153846153846,1216.1666666666667,0.4312432768185099,49,166.0,282.20000000000005,182.6,0.7710843373493976,6516.666666666666
21,1,96,alpaca-13b,10408,1.0,2.0,126.81970248602738,31,21,14,9,7,4,2,167.8709677419355,1734.6666666666667,0.7914697346705687,67,249.00000000000003,215.8,464.80000000000007,0.5967741935483871,9250.0
21,2,96,llama-13b,9522,2.0,1.0,134.25151670433115,20,13,10,6,4,3,2,173.12727272727273,1904.4,0.9474332409630885,42,282.20000000000005,2523.2000000000003,149.4,0.6363636363636364,6833.333333333334
22,1,98,gpt-3.5-turbo,11473,2.0,2.0,166.47042290137324,36,19,10,6,5,4,2,152.97333333333333,1912.1666666666667,1.6618805558166485,76,116.20000000000002,182.6,116.20000000000002,0.7,5050.0
22,2,98,alpaca-13b,6242,1.0,1.0,112.62211922125424,17,16,10,6,3,3,1,156.05,2080.6666666666665,0.4781824995555596,35,199.2,929.6,199.2,0.6266666666666667,9650.0
23,1,100,claude-v1,10754,1.0,1.0,176.37208183063194,37,26,18,10,4,3,2,195.5272727272728,2150.8,1.1213307734147897,61,166.0,232.40000000000003,282.20000000000005,0.6,6716.666666666667
23,2,100,gpt-3.5-turbo,8642,2.0,2.0,127.15523775390466,30,19,10,5,2,2,2,104.12048192771084,1234.571428571429,0.6181923124363644,54,199.2,913.0,199.2,0.7228915662650602,7483.333333333333
24,1,100,claude-v1,3267,1.5,1.0,176.37208183063194,14,9,7,4,1,1,0,59.4,653.4,0.2634770418911221,22,116.20000000000002,199.2,315.40000000000003,0.6829268292682927,7700.0
24,2,100,alpaca-13b,8796,1.5,2.0,172.68096376792528,34,26,20,13,5,2,1,107.26829268292684,1466.0,0.9171680754097536,53,116.20000000000002,182.6,116.20000000000002,0.7818181818181819,2316.6666666666665
25,1,98,llama-13b,3720,1.0,1.0,135.4435255806893,9,7,7,4,2,1,1,109.41176470588236,1240.0,0.2559292792196491,25,215.8,99.6,199.2,0.6266666666666667,8100.000000000001
25,2,98,claude-v1,9886,2.0,2.0,232.9629578390013,40,23,14,8,5,5,2,131.81333333333333,1412.2857142857142,1.5270754504873183,51,199.2,232.40000000000003,199.2,0.6764705882352942,3033.333333333333
26,1,100,gpt-3.5-turbo,6434,2.0,1.5,127.155161358678,26,16,9,7,4,1,0,77.51807228915662,919.1428571428572,0.4602463941466754,39,132.8,282.20000000000005,132.8,0.7590361445783133,5300.000000000001
26,2,100,gpt-4,11158,1.0,1.5,136.6374052844767,45,25,17,7,6,2,1,171.66153846153847,1859.6666666666667,0.9336762496655272,66,232.40000000000003,249.00000000000003,298.8,0.5230769230769231,9350.000000000002
27,1,92,gpt-3.5-turbo,11000,1.0,2.0,125.40416362351344,22,15,9,6,3,2,1,132.53012048192772,1375.0,0.8029371181736595,33,431.6,381.8,813.4000000000001,0.6376811594202898,7866.666666666665
27,2,92,claude-v1,10882,2.0,1.0,184.74166885997693,37,20,17,12,9,7,3,157.71014492753622,1813.6666666666667,0.643112147230235,59,398.4,265.6,398.4,0.7951807228915663,7833.333333333333
28,1,92,claude-v1,12160,2.0,1.25,184.74166885997693,42,33,24,12,7,2,1,176.231884057971,2026.6666666666667,0.8427308311026739,81,116.20000000000002,597.6,116.20000000000002,0.6388888888888888,11316.666666666666
28,2,92,vicuna-13b-v1.2,13681,1.0,1.75,148.34465480612562,37,25,18,15,9,6,4,190.01388888888889,1954.428571428572,0.9986347921576214,67,265.6,182.6,265.6,0.5797101449275363,10116.666666666668
29,1,100,gpt-3.5-turbo,10687,1.5,1.5,127.15523775390466,42,30,18,10,6,4,1,128.75903614457832,1526.7142857142858,0.7814910600303452,69,99.6,415.00000000000006,99.6,0.7764705882352941,4950.000000000001
29,2,100,vicuna-13b-v1.2,7821,1.5,1.5,152.01746309649025,22,15,10,7,4,3,1,92.01176470588236,1303.5,0.5594633274201349,48,215.8,132.8,215.8,0.6626506024096386,8616.666666666666
30,1,98,alpaca-13b,3757,1.0,1.0,112.62208121956792,7,7,4,4,1,0,0,93.925,1252.3333333333333,0.2584748123731779,20,265.6,-1.0,265.6,0.8266666666666667,2750.0
30,2,98,claude-v1,3894,2.0,2.0,232.9629578390013,6,5,4,3,2,1,1,51.92,556.2857142857143,0.5640515021659573,26,132.8,348.6,481.4,0.8,2766.6666666666665
32,1,98,alpaca-13b,24090,1.0,1.5,91.1592464838177,44,20,10,6,3,1,1,573.5714285714286,8030.0,1.8361018343831053,111,166.0,249.00000000000003,166.0,0.25,32333.33333333334
